Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'angleradiu' | Document Frequency: 1
Term: 'angleradiu' | Inverse Document Frequency: 3.5056925074122
Term: 'slopeintercept' | Document Frequency: 1
Term: 'slopeintercept' | Inverse Document Frequency: 3.5056925074122
Term: 'shrink' | Document Frequency: 1
Term: 'shrink' | Inverse Document Frequency: 3.5056925074122
Term: 'levialdi' | Document Frequency: 1
Term: 'levialdi' | Inverse Document Frequency: 3.5056925074122
Term: 'window' | Document Frequency: 2
Term: 'window' | Inverse Document Frequency: 3.204662511748219
Term: 'twobytwo' | Document Frequency: 1
Term: 'twobytwo' | Inverse Document Frequency: 3.5056925074122
Term: 'disconnect' | Document Frequency: 1
Term: 'disconnect' | Inverse Document Frequency: 3.5056925074122
Term: 'mccullochpitt' | Document Frequency: 1
Term: 'mccullochpitt' | Inverse Document Frequency: 3.5056925074122
Term: 'hinder' | Document Frequency: 1
Term: 'hinder' | Inverse Document Frequency: 3.5056925074122
Term: 'intrins' | Document Frequency: 3
Term: 'intrins' | Inverse Document Frequency: 3.0285712526925375
Term: 'crystallograph' | Document Frequency: 1
Term: 'crystallograph' | Inverse Document Frequency: 3.5056925074122
Term: 'macromolecul' | Document Frequency: 1
Term: 'macromolecul' | Inverse Document Frequency: 3.5056925074122
Term: 'hasbeen' | Document Frequency: 1
Term: 'hasbeen' | Inverse Document Frequency: 3.5056925074122
Term: 'a472' | Document Frequency: 1
Term: 'a472' | Inverse Document Frequency: 3.5056925074122
Term: 'a471' | Document Frequency: 1
Term: 'a471' | Inverse Document Frequency: 3.5056925074122
Term: 'a470' | Document Frequency: 1
Term: 'a470' | Inverse Document Frequency: 3.5056925074122
Term: 'kubicek' | Document Frequency: 1
Term: 'kubicek' | Inverse Document Frequency: 3.5056925074122
Term: 'sa' | Document Frequency: 3
Term: 'sa' | Inverse Document Frequency: 3.0285712526925375
Term: 'couger' | Document Frequency: 1
Term: 'couger' | Inverse Document Frequency: 3.5056925074122
Term: 'specifieddetail' | Document Frequency: 1
Term: 'specifieddetail' | Inverse Document Frequency: 3.5056925074122
Term: 'semidirect' | Document Frequency: 1
Term: 'semidirect' | Inverse Document Frequency: 3.5056925074122
Term: 'eigenvectoreigenvalu' | Document Frequency: 1
Term: 'eigenvectoreigenvalu' | Inverse Document Frequency: 3.5056925074122
Term: 'eigenvalueeigenvector' | Document Frequency: 1
Term: 'eigenvalueeigenvector' | Inverse Document Frequency: 3.5056925074122
Term: 'wienerhopf' | Document Frequency: 1
Term: 'wienerhopf' | Inverse Document Frequency: 3.5056925074122
Term: 'stenger' | Document Frequency: 1
Term: 'stenger' | Inverse Document Frequency: 3.5056925074122
Term: 'interconvers' | Document Frequency: 1
Term: 'interconvers' | Inverse Document Frequency: 3.5056925074122
Term: 'fiveterm' | Document Frequency: 2
Term: 'fiveterm' | Inverse Document Frequency: 3.204662511748219
Term: 'brent' | Document Frequency: 3
Term: 'brent' | Inverse Document Frequency: 3.0285712526925375
Term: 'counterexampl' | Document Frequency: 3
Term: 'counterexampl' | Inverse Document Frequency: 3.0285712526925375
Term: 'overa' | Document Frequency: 1
Term: 'overa' | Inverse Document Frequency: 3.5056925074122
Term: 'a469' | Document Frequency: 1
Term: 'a469' | Inverse Document Frequency: 3.5056925074122
Term: 'lam' | Document Frequency: 1
Term: 'lam' | Inverse Document Frequency: 3.5056925074122
Term: 'a468' | Document Frequency: 1
Term: 'a468' | Inverse Document Frequency: 3.5056925074122
Term: 'a467' | Document Frequency: 1
Term: 'a467' | Inverse Document Frequency: 3.5056925074122
Term: 'a466' | Document Frequency: 1
Term: 'a466' | Inverse Document Frequency: 3.5056925074122
Term: 'a465' | Document Frequency: 1
Term: 'a465' | Inverse Document Frequency: 3.5056925074122
Term: 'a464' | Document Frequency: 1
Term: 'a464' | Inverse Document Frequency: 3.5056925074122
Term: 'reinsch' | Document Frequency: 1
Term: 'reinsch' | Inverse Document Frequency: 3.5056925074122
Term: 'havingparti' | Document Frequency: 1
Term: 'havingparti' | Inverse Document Frequency: 3.5056925074122
Term: 'norton' | Document Frequency: 1
Term: 'norton' | Inverse Document Frequency: 3.5056925074122
Term: 'hyperresolut' | Document Frequency: 1
Term: 'hyperresolut' | Inverse Document Frequency: 3.5056925074122
Term: 'p1resolut' | Document Frequency: 1
Term: 'p1resolut' | Inverse Document Frequency: 3.5056925074122
Term: 'paramodul' | Document Frequency: 2
Term: 'paramodul' | Inverse Document Frequency: 3.204662511748219
Term: 'hardcopi' | Document Frequency: 1
Term: 'hardcopi' | Inverse Document Frequency: 3.5056925074122
Term: 'partridg' | Document Frequency: 2
Term: 'partridg' | Inverse Document Frequency: 3.204662511748219
Term: 'parsergener' | Document Frequency: 1
Term: 'parsergener' | Inverse Document Frequency: 3.5056925074122
Term: 'mickuna' | Document Frequency: 2
Term: 'mickuna' | Inverse Document Frequency: 3.204662511748219
Term: 'normalform' | Document Frequency: 1
Term: 'normalform' | Inverse Document Frequency: 3.5056925074122
Term: 'pg' | Document Frequency: 1
Term: 'pg' | Inverse Document Frequency: 3.5056925074122
Term: 'cdc6500' | Document Frequency: 1
Term: 'cdc6500' | Inverse Document Frequency: 3.5056925074122
Term: 'fortrancod' | Document Frequency: 1
Term: 'fortrancod' | Inverse Document Frequency: 3.5056925074122
Term: '14000' | Document Frequency: 2
Term: '14000' | Inverse Document Frequency: 3.204662511748219
Term: 'xpl' | Document Frequency: 1
Term: 'xpl' | Inverse Document Frequency: 3.5056925074122
Term: '60bit' | Document Frequency: 1
Term: '60bit' | Inverse Document Frequency: 3.5056925074122
Term: 'fabri' | Document Frequency: 4
Term: 'fabri' | Inverse Document Frequency: 2.9036325160842376
Term: 'improperli' | Document Frequency: 1
Term: 'improperli' | Inverse Document Frequency: 3.5056925074122
Term: 'reinforc' | Document Frequency: 1
Term: 'reinforc' | Inverse Document Frequency: 3.5056925074122
Term: 'gratuit' | Document Frequency: 1
Term: 'gratuit' | Inverse Document Frequency: 3.5056925074122
Term: 'faultth' | Document Frequency: 1
Term: 'faultth' | Inverse Document Frequency: 3.5056925074122
Term: 'scale1' | Document Frequency: 1
Term: 'scale1' | Inverse Document Frequency: 3.5056925074122
Term: 'scale2' | Document Frequency: 1
Term: 'scale2' | Inverse Document Frequency: 3.5056925074122
Term: 'scale3' | Document Frequency: 1
Term: 'scale3' | Inverse Document Frequency: 3.5056925074122
Term: 'a463' | Document Frequency: 1
Term: 'a463' | Inverse Document Frequency: 3.5056925074122
Term: 'lewart' | Document Frequency: 1
Term: 'lewart' | Inverse Document Frequency: 3.5056925074122
Term: 'bivari' | Document Frequency: 6
Term: 'bivari' | Inverse Document Frequency: 2.727541257028556
Term: 'a462' | Document Frequency: 1
Term: 'a462' | Inverse Document Frequency: 3.5056925074122
Term: 'a461' | Document Frequency: 1
Term: 'a461' | Inverse Document Frequency: 3.5056925074122
Term: 'burkowski' | Document Frequency: 1
Term: 'burkowski' | Inverse Document Frequency: 3.5056925074122
Term: 'hoskin' | Document Frequency: 2
Term: 'hoskin' | Inverse Document Frequency: 3.204662511748219
Term: 'a460' | Document Frequency: 1
Term: 'a460' | Inverse Document Frequency: 3.5056925074122
Term: 'saylor' | Document Frequency: 1
Term: 'saylor' | Inverse Document Frequency: 3.5056925074122
Term: 'sebastian' | Document Frequency: 1
Term: 'sebastian' | Inverse Document Frequency: 3.5056925074122
Term: 'peacemanrachford' | Document Frequency: 1
Term: 'peacemanrachford' | Inverse Document Frequency: 3.5056925074122
Term: 'douglasrachford' | Document Frequency: 1
Term: 'douglasrachford' | Inverse Document Frequency: 3.5056925074122
Term: 'alternatingdirectionimplicit' | Document Frequency: 1
Term: 'alternatingdirectionimplicit' | Inverse Document Frequency: 3.5056925074122
Term: 'adi' | Document Frequency: 1
Term: 'adi' | Inverse Document Frequency: 3.5056925074122
Term: 'a459' | Document Frequency: 1
Term: 'a459' | Inverse Document Frequency: 3.5056925074122
Term: 'syslo' | Document Frequency: 2
Term: 'syslo' | Inverse Document Frequency: 3.204662511748219
Term: 'a458' | Document Frequency: 1
Term: 'a458' | Inverse Document Frequency: 3.5056925074122
Term: 'rober' | Document Frequency: 1
Term: 'rober' | Inverse Document Frequency: 3.5056925074122
Term: 'bohlen' | Document Frequency: 1
Term: 'bohlen' | Inverse Document Frequency: 3.5056925074122
Term: 'ivtran' | Document Frequency: 1
Term: 'ivtran' | Inverse Document Frequency: 3.5056925074122
Term: 'crucial' | Document Frequency: 2
Term: 'crucial' | Inverse Document Frequency: 3.204662511748219
Term: 'priev' | Document Frequency: 2
Term: 'priev' | Inverse Document Frequency: 3.204662511748219
Term: 'interrefer' | Document Frequency: 2
Term: 'interrefer' | Inverse Document Frequency: 3.204662511748219
Term: 'omiss' | Document Frequency: 1
Term: 'omiss' | Inverse Document Frequency: 3.5056925074122
Term: 'dene' | Document Frequency: 1
Term: 'dene' | Inverse Document Frequency: 3.5056925074122
Term: 'rederiv' | Document Frequency: 1
Term: 'rederiv' | Inverse Document Frequency: 3.5056925074122
Term: 'hirschberg' | Document Frequency: 8
Term: 'hirschberg' | Inverse Document Frequency: 2.6026025204202563
Term: 'fibonacci' | Document Frequency: 4
Term: 'fibonacci' | Inverse Document Frequency: 2.9036325160842376
Term: 'anew' | Document Frequency: 1
Term: 'anew' | Inverse Document Frequency: 3.5056925074122
Term: 'leakag' | Document Frequency: 1
Term: 'leakag' | Inverse Document Frequency: 3.5056925074122
Term: 'caller' | Document Frequency: 1
Term: 'caller' | Inverse Document Frequency: 3.5056925074122
Term: 'stake' | Document Frequency: 1
Term: 'stake' | Inverse Document Frequency: 3.5056925074122
Term: 'wegbreit' | Document Frequency: 6
Term: 'wegbreit' | Inverse Document Frequency: 2.727541257028556
Term: 'dendrarchi' | Document Frequency: 1
Term: 'dendrarchi' | Inverse Document Frequency: 3.5056925074122
Term: 'retent' | Document Frequency: 2
Term: 'retent' | Inverse Document Frequency: 3.204662511748219
Term: 'funarg' | Document Frequency: 2
Term: 'funarg' | Inverse Document Frequency: 3.204662511748219
Term: 'multitask' | Document Frequency: 2
Term: 'multitask' | Inverse Document Frequency: 3.204662511748219
Term: 'labelvalu' | Document Frequency: 1
Term: 'labelvalu' | Inverse Document Frequency: 3.5056925074122
Term: 'dealloc' | Document Frequency: 1
Term: 'dealloc' | Inverse Document Frequency: 3.5056925074122
Term: 'multipleprocess' | Document Frequency: 1
Term: 'multipleprocess' | Inverse Document Frequency: 3.5056925074122
Term: 'mcgeachi' | Document Frequency: 1
Term: 'mcgeachi' | Inverse Document Frequency: 3.5056925074122
Term: 'dtss' | Document Frequency: 1
Term: 'dtss' | Inverse Document Frequency: 3.5056925074122
Term: 'userwritten' | Document Frequency: 1
Term: 'userwritten' | Inverse Document Frequency: 3.5056925074122
Term: 'dartmouth' | Document Frequency: 1
Term: 'dartmouth' | Inverse Document Frequency: 3.5056925074122
Term: 'multipletermin' | Document Frequency: 1
Term: 'multipletermin' | Inverse Document Frequency: 3.5056925074122
Term: 'r429' | Document Frequency: 2
Term: 'r429' | Inverse Document Frequency: 3.204662511748219
Term: 'driessen' | Document Frequency: 1
Term: 'driessen' | Inverse Document Frequency: 3.5056925074122
Term: 'lem' | Document Frequency: 1
Term: 'lem' | Inverse Document Frequency: 3.5056925074122
Term: 'r420' | Document Frequency: 5
Term: 'r420' | Inverse Document Frequency: 2.8067225030761813
Term: 'r408' | Document Frequency: 2
Term: 'r408' | Inverse Document Frequency: 3.204662511748219
Term: 'r323' | Document Frequency: 1
Term: 'r323' | Inverse Document Frequency: 3.5056925074122
Term: 'cliqu' | Document Frequency: 4
Term: 'cliqu' | Inverse Document Frequency: 2.9036325160842376
Term: 'a457' | Document Frequency: 1
Term: 'a457' | Inverse Document Frequency: 3.5056925074122
Term: 'kerbosch' | Document Frequency: 1
Term: 'kerbosch' | Inverse Document Frequency: 3.5056925074122
Term: 'a456' | Document Frequency: 1
Term: 'a456' | Inverse Document Frequency: 3.5056925074122
Term: 'fencl' | Document Frequency: 1
Term: 'fencl' | Inverse Document Frequency: 3.5056925074122
Term: 'skew' | Document Frequency: 3
Term: 'skew' | Inverse Document Frequency: 3.0285712526925375
Term: 'a455' | Document Frequency: 1
Term: 'a455' | Inverse Document Frequency: 3.5056925074122
Term: 'young' | Document Frequency: 3
Term: 'young' | Inverse Document Frequency: 3.0285712526925375
Term: 'outer' | Document Frequency: 1
Term: 'outer' | Inverse Document Frequency: 3.5056925074122
Term: 'sard' | Document Frequency: 1
Term: 'sard' | Inverse Document Frequency: 3.5056925074122
Term: 'cubatur' | Document Frequency: 1
Term: 'cubatur' | Inverse Document Frequency: 3.5056925074122
Term: 'barnhil' | Document Frequency: 1
Term: 'barnhil' | Inverse Document Frequency: 3.5056925074122
Term: 'pilcher' | Document Frequency: 1
Term: 'pilcher' | Inverse Document Frequency: 3.5056925074122
Term: 'gate' | Document Frequency: 1
Term: 'gate' | Inverse Document Frequency: 3.5056925074122
Term: 'poplawski' | Document Frequency: 1
Term: 'poplawski' | Inverse Document Frequency: 3.5056925074122
Term: 'symbolt' | Document Frequency: 1
Term: 'symbolt' | Inverse Document Frequency: 3.5056925074122
Term: 'rodriguezrosel' | Document Frequency: 2
Term: 'rodriguezrosel' | Inverse Document Frequency: 3.204662511748219
Term: 'dearth' | Document Frequency: 1
Term: 'dearth' | Inverse Document Frequency: 3.5056925074122
Term: 'queri' | Document Frequency: 1
Term: 'queri' | Inverse Document Frequency: 3.5056925074122
Term: 'casei' | Document Frequency: 2
Term: 'casei' | Inverse Document Frequency: 3.204662511748219
Term: 'wellspecifi' | Document Frequency: 1
Term: 'wellspecifi' | Inverse Document Frequency: 3.5056925074122
Term: 'ordinarili' | Document Frequency: 1
Term: 'ordinarili' | Inverse Document Frequency: 3.5056925074122
Term: 'bitvector' | Document Frequency: 1
Term: 'bitvector' | Inverse Document Frequency: 3.5056925074122
Term: 'organizationa' | Document Frequency: 1
Term: 'organizationa' | Inverse Document Frequency: 3.5056925074122
Term: 'elus' | Document Frequency: 1
Term: 'elus' | Inverse Document Frequency: 3.5056925074122
Term: 'devicerel' | Document Frequency: 1
Term: 'devicerel' | Inverse Document Frequency: 3.5056925074122
Term: 'ganapathi' | Document Frequency: 1
Term: 'ganapathi' | Inverse Document Frequency: 3.5056925074122
Term: 'reinwald' | Document Frequency: 1
Term: 'reinwald' | Inverse Document Frequency: 3.5056925074122
Term: 'soland' | Document Frequency: 1
Term: 'soland' | Inverse Document Frequency: 3.5056925074122
Term: 'server' | Document Frequency: 4
Term: 'server' | Inverse Document Frequency: 2.9036325160842376
Term: 'buzen' | Document Frequency: 1
Term: 'buzen' | Inverse Document Frequency: 3.5056925074122
Term: 'equilibrium' | Document Frequency: 2
Term: 'equilibrium' | Inverse Document Frequency: 3.204662511748219
Term: 'steadi' | Document Frequency: 1
Term: 'steadi' | Inverse Document Frequency: 3.5056925074122
Term: 'imbal' | Document Frequency: 3
Term: 'imbal' | Inverse Document Frequency: 3.0285712526925375
Term: 'triangl' | Document Frequency: 3
Term: 'triangl' | Inverse Document Frequency: 3.0285712526925375
Term: 'duli' | Document Frequency: 1
Term: 'duli' | Inverse Document Frequency: 3.5056925074122
Term: 'peterson' | Document Frequency: 5
Term: 'peterson' | Inverse Document Frequency: 2.8067225030761813
Term: 'kasami' | Document Frequency: 1
Term: 'kasami' | Inverse Document Frequency: 3.5056925074122
Term: 'tokura' | Document Frequency: 1
Term: 'tokura' | Inverse Document Frequency: 3.5056925074122
Term: 'methodsfor' | Document Frequency: 1
Term: 'methodsfor' | Inverse Document Frequency: 3.5056925074122
Term: 'ne' | Document Frequency: 1
Term: 'ne' | Inverse Document Frequency: 3.5056925074122
Term: 'r428' | Document Frequency: 1
Term: 'r428' | Inverse Document Frequency: 3.5056925074122
Term: 'r424' | Document Frequency: 1
Term: 'r424' | Inverse Document Frequency: 3.5056925074122
Term: 'r412' | Document Frequency: 1
Term: 'r412' | Inverse Document Frequency: 3.5056925074122
Term: 'r357' | Document Frequency: 1
Term: 'r357' | Inverse Document Frequency: 3.5056925074122
Term: 'demorgan' | Document Frequency: 1
Term: 'demorgan' | Inverse Document Frequency: 3.5056925074122
Term: 'r404' | Document Frequency: 1
Term: 'r404' | Inverse Document Frequency: 3.5056925074122
Term: 'c404' | Document Frequency: 1
Term: 'c404' | Inverse Document Frequency: 3.5056925074122
Term: 'andrejkova' | Document Frequency: 1
Term: 'andrejkova' | Inverse Document Frequency: 3.5056925074122
Term: 'vinar' | Document Frequency: 1
Term: 'vinar' | Inverse Document Frequency: 3.5056925074122
Term: 'a454' | Document Frequency: 1
Term: 'a454' | Inverse Document Frequency: 3.5056925074122
Term: 'kuester' | Document Frequency: 1
Term: 'kuester' | Inverse Document Frequency: 3.5056925074122
Term: 'bromwich' | Document Frequency: 1
Term: 'bromwich' | Inverse Document Frequency: 3.5056925074122
Term: 'a453' | Document Frequency: 1
Term: 'a453' | Inverse Document Frequency: 3.5056925074122
Term: 'piessen' | Document Frequency: 5
Term: 'piessen' | Inverse Document Frequency: 2.8067225030761813
Term: 'a452' | Document Frequency: 1
Term: 'a452' | Inverse Document Frequency: 3.5056925074122
Term: 'liu' | Document Frequency: 1
Term: 'liu' | Inverse Document Frequency: 3.5056925074122
Term: 'a451' | Document Frequency: 1
Term: 'a451' | Inverse Document Frequency: 3.5056925074122
Term: 'rosenbrock' | Document Frequency: 3
Term: 'rosenbrock' | Inverse Document Frequency: 3.0285712526925375
Term: 'a450' | Document Frequency: 1
Term: 'a450' | Inverse Document Frequency: 3.5056925074122
Term: 'machura' | Document Frequency: 1
Term: 'machura' | Inverse Document Frequency: 3.5056925074122
Term: 'mulawa' | Document Frequency: 1
Term: 'mulawa' | Inverse Document Frequency: 3.5056925074122
Term: 'petri' | Document Frequency: 1
Term: 'petri' | Inverse Document Frequency: 3.5056925074122
Term: 'misuna' | Document Frequency: 1
Term: 'misuna' | Inverse Document Frequency: 3.5056925074122
Term: 'fenan' | Document Frequency: 1
Term: 'fenan' | Inverse Document Frequency: 3.5056925074122
Term: 'maclennan' | Document Frequency: 1
Term: 'maclennan' | Inverse Document Frequency: 3.5056925074122
Term: 'lambdacalculu' | Document Frequency: 1
Term: 'lambdacalculu' | Inverse Document Frequency: 3.5056925074122
Term: '526' | Document Frequency: 3
Term: '526' | Inverse Document Frequency: 3.0285712526925375
Term: 'simper' | Document Frequency: 1
Term: 'simper' | Inverse Document Frequency: 3.5056925074122
Term: 'touch' | Document Frequency: 2
Term: 'touch' | Inverse Document Frequency: 3.204662511748219
Term: 'fen' | Document Frequency: 1
Term: 'fen' | Inverse Document Frequency: 3.5056925074122
Term: 'partnership' | Document Frequency: 1
Term: 'partnership' | Inverse Document Frequency: 3.5056925074122
Term: 'domino' | Document Frequency: 1
Term: 'domino' | Inverse Document Frequency: 3.5056925074122
Term: 'fourplay' | Document Frequency: 1
Term: 'fourplay' | Inverse Document Frequency: 3.5056925074122
Term: 'chess' | Document Frequency: 3
Term: 'chess' | Inverse Document Frequency: 3.0285712526925375
Term: 'advi' | Document Frequency: 1
Term: 'advi' | Inverse Document Frequency: 3.5056925074122
Term: 'sabil' | Document Frequency: 1
Term: 'sabil' | Inverse Document Frequency: 3.5056925074122
Term: 'twothird' | Document Frequency: 1
Term: 'twothird' | Inverse Document Frequency: 3.5056925074122
Term: 'tournament' | Document Frequency: 3
Term: 'tournament' | Inverse Document Frequency: 3.0285712526925375
Term: 'defeat' | Document Frequency: 1
Term: 'defeat' | Inverse Document Frequency: 3.5056925074122
Term: 'championship' | Document Frequency: 1
Term: 'championship' | Inverse Document Frequency: 3.5056925074122
Term: 'r422' | Document Frequency: 1
Term: 'r422' | Inverse Document Frequency: 3.5056925074122
Term: 'prim' | Document Frequency: 1
Term: 'prim' | Inverse Document Frequency: 3.5056925074122
Term: 'c407' | Document Frequency: 1
Term: 'c407' | Inverse Document Frequency: 3.5056925074122
Term: 'nikolai' | Document Frequency: 1
Term: 'nikolai' | Inverse Document Frequency: 3.5056925074122
Term: 'h1' | Document Frequency: 1
Term: 'h1' | Inverse Document Frequency: 3.5056925074122
Term: 'a449' | Document Frequency: 1
Term: 'a449' | Inverse Document Frequency: 3.5056925074122
Term: 'fiala' | Document Frequency: 1
Term: 'fiala' | Inverse Document Frequency: 3.5056925074122
Term: 'bochmann' | Document Frequency: 2
Term: 'bochmann' | Inverse Document Frequency: 3.204662511748219
Term: 'scienceseminar' | Document Frequency: 1
Term: 'scienceseminar' | Inverse Document Frequency: 3.5056925074122
Term: 'imprecis' | Document Frequency: 1
Term: 'imprecis' | Inverse Document Frequency: 3.5056925074122
Term: 'fuzzi' | Document Frequency: 1
Term: 'fuzzi' | Inverse Document Frequency: 3.5056925074122
Term: 'mcfarlan' | Document Frequency: 2
Term: 'mcfarlan' | Inverse Document Frequency: 3.204662511748219
Term: 'nolan' | Document Frequency: 5
Term: 'nolan' | Inverse Document Frequency: 2.8067225030761813
Term: 'enrich' | Document Frequency: 1
Term: 'enrich' | Inverse Document Frequency: 3.5056925074122
Term: 'taughtthei' | Document Frequency: 1
Term: 'taughtthei' | Inverse Document Frequency: 3.5056925074122
Term: 'gelenb' | Document Frequency: 3
Term: 'gelenb' | Inverse Document Frequency: 3.0285712526925375
Term: 'nonswap' | Document Frequency: 1
Term: 'nonswap' | Inverse Document Frequency: 3.5056925074122
Term: 'coko' | Document Frequency: 1
Term: 'coko' | Inverse Document Frequency: 3.5056925074122
Term: 'cooperkoz' | Document Frequency: 1
Term: 'cooperkoz' | Inverse Document Frequency: 3.5056925074122
Term: 'kozdrowicki' | Document Frequency: 1
Term: 'kozdrowicki' | Inverse Document Frequency: 3.5056925074122
Term: 'catastroph' | Document Frequency: 1
Term: 'catastroph' | Inverse Document Frequency: 3.5056925074122
Term: 'lasker' | Document Frequency: 1
Term: 'lasker' | Inverse Document Frequency: 3.5056925074122
Term: 'strateg' | Document Frequency: 3
Term: 'strateg' | Inverse Document Frequency: 3.0285712526925375
Term: 'tactic' | Document Frequency: 1
Term: 'tactic' | Inverse Document Frequency: 3.5056925074122
Term: 'sec' | Document Frequency: 2
Term: 'sec' | Inverse Document Frequency: 3.204662511748219
Term: 'club' | Document Frequency: 1
Term: 'club' | Inverse Document Frequency: 3.5056925074122
Term: 'deploy' | Document Frequency: 1
Term: 'deploy' | Inverse Document Frequency: 3.5056925074122
Term: 'plagu' | Document Frequency: 1
Term: 'plagu' | Inverse Document Frequency: 3.5056925074122
Term: 'curb' | Document Frequency: 1
Term: 'curb' | Inverse Document Frequency: 3.5056925074122
Term: 'trim' | Document Frequency: 1
Term: 'trim' | Inverse Document Frequency: 3.5056925074122
Term: 'prune' | Document Frequency: 1
Term: 'prune' | Inverse Document Frequency: 3.5056925074122
Term: 'preanalysi' | Document Frequency: 1
Term: 'preanalysi' | Inverse Document Frequency: 3.5056925074122
Term: 'mysteri' | Document Frequency: 1
Term: 'mysteri' | Inverse Document Frequency: 3.5056925074122
Term: 'huang' | Document Frequency: 1
Term: 'huang' | Inverse Document Frequency: 3.5056925074122
Term: 'budget' | Document Frequency: 4
Term: 'budget' | Inverse Document Frequency: 2.9036325160842376
Term: 'userservic' | Document Frequency: 1
Term: 'userservic' | Inverse Document Frequency: 3.5056925074122
Term: 'photocomposit' | Document Frequency: 2
Term: 'photocomposit' | Inverse Document Frequency: 3.204662511748219
Term: 'yuni' | Document Frequency: 1
Term: 'yuni' | Inverse Document Frequency: 3.5056925074122
Term: 'foreign' | Document Frequency: 1
Term: 'foreign' | Inverse Document Frequency: 3.5056925074122
Term: 'photocompos' | Document Frequency: 1
Term: 'photocompos' | Inverse Document Frequency: 3.5056925074122
Term: 'overprint' | Document Frequency: 1
Term: 'overprint' | Inverse Document Frequency: 3.5056925074122
Term: 'accent' | Document Frequency: 1
Term: 'accent' | Inverse Document Frequency: 3.5056925074122
Term: 'diacrit' | Document Frequency: 1
Term: 'diacrit' | Inverse Document Frequency: 3.5056925074122
Term: 'yr' | Document Frequency: 1
Term: 'yr' | Inverse Document Frequency: 3.5056925074122
Term: 'yt' | Document Frequency: 1
Term: 'yt' | Inverse Document Frequency: 3.5056925074122
Term: 'y720' | Document Frequency: 1
Term: 'y720' | Inverse Document Frequency: 3.5056925074122
Term: 'delta8' | Document Frequency: 1
Term: 'delta8' | Inverse Document Frequency: 3.5056925074122
Term: 'piecewis' | Document Frequency: 3
Term: 'piecewis' | Inverse Document Frequency: 3.0285712526925375
Term: 'stalei' | Document Frequency: 1
Term: 'stalei' | Inverse Document Frequency: 3.5056925074122
Term: 'multiplyrestrict' | Document Frequency: 1
Term: 'multiplyrestrict' | Inverse Document Frequency: 3.5056925074122
Term: 'a448' | Document Frequency: 1
Term: 'a448' | Inverse Document Frequency: 3.5056925074122
Term: 'swinehart' | Document Frequency: 1
Term: 'swinehart' | Inverse Document Frequency: 3.5056925074122
Term: 'energylevel' | Document Frequency: 1
Term: 'energylevel' | Inverse Document Frequency: 3.5056925074122
Term: 'degeneraci' | Document Frequency: 1
Term: 'degeneraci' | Inverse Document Frequency: 3.5056925074122
Term: 'vibrat' | Document Frequency: 1
Term: 'vibrat' | Inverse Document Frequency: 3.5056925074122
Term: 'a447' | Document Frequency: 1
Term: 'a447' | Inverse Document Frequency: 3.5056925074122
Term: 'hopcroft' | Document Frequency: 1
Term: 'hopcroft' | Inverse Document Frequency: 3.5056925074122
Term: 'tarjan' | Document Frequency: 2
Term: 'tarjan' | Inverse Document Frequency: 3.204662511748219
Term: 'biconnect' | Document Frequency: 1
Term: 'biconnect' | Inverse Document Frequency: 3.5056925074122
Term: 'vertex' | Document Frequency: 4
Term: 'vertex' | Inverse Document Frequency: 2.9036325160842376
Term: 'strunz' | Document Frequency: 1
Term: 'strunz' | Inverse Document Frequency: 3.5056925074122
Term: 'shneiderman' | Document Frequency: 4
Term: 'shneiderman' | Inverse Document Frequency: 2.9036325160842376
Term: 'ling' | Document Frequency: 2
Term: 'ling' | Inverse Document Frequency: 3.204662511748219
Term: 'taxonomi' | Document Frequency: 1
Term: 'taxonomi' | Inverse Document Frequency: 3.5056925074122
Term: 'dissimilar' | Document Frequency: 2
Term: 'dissimilar' | Inverse Document Frequency: 3.204662511748219
Term: 'dark' | Document Frequency: 1
Term: 'dark' | Inverse Document Frequency: 3.5056925074122
Term: 'glanc' | Document Frequency: 1
Term: 'glanc' | Inverse Document Frequency: 3.5056925074122
Term: 'forth' | Document Frequency: 1
Term: 'forth' | Inverse Document Frequency: 3.5056925074122
Term: 'stockhausen' | Document Frequency: 2
Term: 'stockhausen' | Inverse Document Frequency: 3.204662511748219
Term: 'objectcod' | Document Frequency: 1
Term: 'objectcod' | Inverse Document Frequency: 3.5056925074122
Term: 'shortestlatencytimefirst' | Document Frequency: 2
Term: 'shortestlatencytimefirst' | Inverse Document Frequency: 3.204662511748219
Term: 'shortestaccesstimefirst' | Document Frequency: 1
Term: 'shortestaccesstimefirst' | Inverse Document Frequency: 3.5056925074122
Term: 'sltf' | Document Frequency: 2
Term: 'sltf' | Inverse Document Frequency: 3.204662511748219
Term: 'varyinglength' | Document Frequency: 1
Term: 'varyinglength' | Inverse Document Frequency: 3.5056925074122
Term: 'revolut' | Document Frequency: 1
Term: 'revolut' | Inverse Document Frequency: 3.5056925074122
Term: 'memorycontentgener' | Document Frequency: 1
Term: 'memorycontentgener' | Inverse Document Frequency: 3.5056925074122
Term: 'lockunlock' | Document Frequency: 1
Term: 'lockunlock' | Inverse Document Frequency: 3.5056925074122
Term: 'uninterrupt' | Document Frequency: 1
Term: 'uninterrupt' | Inverse Document Frequency: 3.5056925074122
Term: 'memorypaus' | Document Frequency: 1
Term: 'memorypaus' | Inverse Document Frequency: 3.5056925074122
